Total Free, Max Free, Avg Free, Min Free, Num Chunks, 
1024,1024,1024,1024,1,
1008,1008,1008,1008,1,
976,976,976,976,1,
968,968,968,968,1,
920,920,920,920,1,
848,848,848,848,1,
847,847,847,847,1,
845,845,845,845,1,
893,845,446,48,2,
889,845,444,44,2,
885,845,442,40,2,
957,845,478,112,2,
829,717,414,112,2,
797,717,398,80,2,
733,717,366,16,2,
765,717,255,16,3,
717,669,239,16,3,
701,669,350,32,2,
677,669,338,8,2,
681,669,227,4,3,
673,669,336,4,2,
669,669,669,669,1,
605,605,605,605,1,
349,349,349,349,1,
477,349,238,128,2,
445,349,222,96,2,
461,349,153,16,3,
429,349,143,16,3,
365,349,182,16,2,
397,349,132,16,3,
333,285,111,16,3,
301,285,150,16,2,
253,237,126,16,2,
317,237,105,16,3,
189,109,63,16,3,
253,109,63,16,4,
237,109,79,64,3,
221,109,73,48,3,
205,109,68,32,3,
189,109,63,16,3,
173,109,86,64,2,
141,109,70,32,2,
77,45,38,32,2,
109,64,54,45,2,
93,64,46,29,2,
77,64,38,13,2,
333,256,111,13,3,
269,256,134,13,2,
253,240,126,13,2,
237,224,118,13,2,
221,208,110,13,2,
93,80,46,13,2,
109,80,36,13,3,
237,208,79,13,3,
253,224,84,13,3,
269,256,134,13,2,
333,256,111,13,3,
349,256,116,29,3,
365,272,121,29,3,
381,288,127,29,3,
397,304,132,29,3,
413,320,137,29,3,
429,320,107,16,4,
173,64,43,16,4,
301,128,60,16,5,
305,128,50,4,6,
337,128,48,4,7,
273,128,45,4,6,
321,176,53,4,6,
385,240,64,4,6,
353,240,70,4,5,
401,240,80,4,5,
433,240,72,4,6,
497,304,82,4,6,
753,672,150,4,5,
817,736,163,4,5,
833,781,208,4,4,
897,781,224,4,4,
905,781,181,4,5,
929,781,185,4,5,
961,781,240,32,4,
993,845,331,32,3,
997,845,332,32,3,
999,847,333,32,3,
1000,968,500,32,2,
1008,1008,1008,1008,1,
