Total Free, Max Free, Avg Free, Min Free, Num Chunks, 
1024,1024,1024,1024,1,
1008,1008,1008,1008,1,
976,976,976,976,1,
968,968,968,968,1,
920,920,920,920,1,
848,848,848,848,1,
847,847,847,847,1,
845,845,845,845,1,
893,845,446,48,2,
889,841,444,48,2,
885,837,442,48,2,
957,837,478,120,2,
829,709,414,120,2,
797,677,398,120,2,
733,613,366,120,2,
765,613,255,32,3,
717,565,239,32,3,
701,549,233,32,3,
677,525,225,32,3,
681,525,170,4,4,
673,517,168,4,4,
669,513,167,4,4,
605,449,151,4,4,
349,193,87,4,4,
477,193,119,32,4,
445,161,111,32,4,
461,161,92,16,5,
429,132,85,16,5,
365,132,73,16,5,
397,164,79,16,5,
333,164,66,1,5,
301,164,75,1,4,
253,164,63,1,4,
317,164,63,1,5,
189,72,37,1,5,
253,72,42,1,6,
237,72,39,1,6,
221,72,36,1,6,
205,72,41,1,5,
189,72,37,1,5,
173,72,34,1,5,
141,72,35,1,4,
77,72,25,1,3,
109,72,27,1,4,
93,56,23,1,4,
77,40,19,1,4,
333,288,83,1,4,
269,224,67,1,4,
253,208,63,1,4,
237,192,59,1,4,
221,176,55,1,4,
93,48,23,1,4,
109,48,21,1,5,
237,176,47,1,5,
253,192,50,1,5,
269,224,67,1,4,
333,288,83,1,4,
349,288,87,1,4,
365,304,91,1,4,
381,320,95,1,4,
397,320,79,1,5,
413,320,82,1,5,
429,320,85,1,5,
173,64,34,1,5,
301,164,60,1,5,
305,164,50,1,6,
337,164,56,1,6,
273,164,45,1,6,
321,164,45,1,7,
385,164,55,4,7,
353,164,58,4,6,
401,164,66,4,6,
433,164,61,4,7,
497,164,71,4,7,
753,356,125,48,6,
817,356,136,48,6,
833,356,166,64,5,
897,356,224,120,4,
905,364,226,120,4,
929,680,309,120,3,
961,680,240,32,4,
993,841,331,32,3,
997,845,332,32,3,
999,847,333,32,3,
1000,968,500,32,2,
1008,1008,1008,1008,1,
